Location,Total_Land_Area_acres,Number_of_Cows,Farm_Size,Date,Product_ID,Product_Name,Brand,Quantity_liters&kg,Price_per_Unit,Total_Value,Shelf_Life_days,Storage_Condition,Production_Date,Expiration_Date,Quantity_Sold_liters&kg,Price_per_Unit_sold,Approx_Total Revenue_INR,Customer_Location,Sales_Channel,Quantity_in_Stock_liters&kg,Minimum_Stock_Threshold_liters&kg,Reorder_Quantity_liters&kg,Stock_check,Deliver_expire_product
Tamil Nadu,589.36,97,Medium,10/2/2019,10,Ghee,Amul,581.5,43.88,25516.22,136,Ambient,8/23/2019,1/6/2020,86,41.49,3568.14,Delhi,Wholesale,495,54.72,156.21,SAFE,YES
Karnataka,197.58,65,Small,5/14/2019,4,Yogurt,Dodla Dairy,332.87,97.87,32577.99,22,Frozen,3/19/2019,4/10/2019,95,101.56,9648.2,Karnataka,Retail,237,75.91,59.2,SAFE,NO
Bihar,639.32,25,Large,4/28/2022,1,Milk,Raj,652.4,61.24,39952.98,1,Polythene Packet,4/12/2022,4/13/2022,389,65.53,25491.17,Telangana,Retail,263,45.01,121.01,SAFE,NO
Chandigarh,750.03,81,Small,1/11/2020,10,Ghee,Amul,486.43,27.23,13245.49,129,Ambient,12/20/2019,4/27/2020,384,25.51,9795.84,Kerala,Online,102,99.86,189.33,SAFE,YES
Maharashtra,987.14,52,Large,1/28/2021,7,Lassi,Sudha,524.71,49.39,25915.43,17,Refrigerated,22-12-2020,1/8/2021,167,45.86,7658.62,Gujarat,Retail,357,33.58,118.33,SAFE,NO
Karnataka,783.65,77,Large,7/11/2022,7,Lassi,Sudha,675.65,36.87,24911.22,12,Refrigerated,5/28/2022,6/9/2022,671,32.92,22089.32,Rajasthan,Wholesale,4,10.25,55.87,IN DANGER,NO
Jharkhand,373.77,79,Medium,6/9/2021,6,Curd,Amul,267.21,27.31,7297.51,6,Refrigerated,4/18/2021,4/24/2021,116,22.62,2623.92,Kerala,Wholesale,151,53.34,42.38,SAFE,NO
Chandigarh,819.45,42,Medium,2/23/2019,8,Buttermilk,Mother Dairy,801.25,34.8,27883.5,14,Refrigerated,1/25/2019,2/8/2019,292,38.9,11358.8,Telangana,Wholesale,509,46.12,32.45,SAFE,NO
Delhi,778.16,42,Large,12/11/2019,7,Lassi,Raj,112.8,91.62,10334.74,13,Refrigerated,10/30/2019,12-11-2019,104,93.93,9768.72,Bihar,Retail,8,92.48,104.82,IN DANGER,NO
Tamil Nadu,428.84,88,Medium,2/8/2022,7,Lassi,sudha,797.52,92.04,73403.74,13,Refrigerated,13/01/2022,1/26/2022,715,89.08,63692.2,Haryana,Wholesale,82,17.51,21.64,SAFE,NO
Chandigarh,389.58,36,Large,4/9/2021,5,Ice Cream,Amul,675.77,52.35,35376.56,24,frozen,"February 20, 2021",3/16/2021,6,54.41,326.46,Gujarat,Wholesale,669,15.3,106.03,SAFE,NO
Rajasthan,332.75,98,Medium,10/23/2019,1,Milk,Sudha,865.01,46.37,40110.51,2,Polythene Packet,10/11/2019,10/13/2019,302,42.34,12786.68,Delhi,Retail,563,70.1,170.61,SAFE,NO
Chandigarh,524.45,67,Medium,9/20/2019,2,Butter,AMUL,8.47,,768.99,38,Refrigerated,8/12/2019,9/19/2019,3,87.28,261.84,Delhi,Retail,5,54.58,128.52,IN DANGER,NO
  Madhya Pradesh  ,816.9,21,Small,2/1/2021,9,Paneer,Amul,381.78,23.83,9097.82,10,Refrigerated,12/20/2020,12/30/2020,82,20.25,1660.5,Delhi,Wholesale,299,39.14,188.98,SAFE,NO
Madhya Pradesh,343.51,12,Medium,5/3/2020,1,Milk,Raj,834.13,25.48,21253.63,1,Polythene Packet,3/25/2020,3/26/2020,406,27.22,11051.32,Telangana,Online,428,58.16,128.69,SAFE,NO
Haryana,201.32,37,Medium,8/15/2019,7,Lassi,Amul,681.45,,53534.71,16,Refrigerated,7/4/2019,20-07-2019,552,74.45,41096.4,Haryana,Retail,129,64.85,86.46,SAFE,NO
Chandigarh,827.42,82,Large,3/3/2019,9,Paneer,Raj,988.64,55.77,55136.45,9,Refrigerated,2019/02/25,"March 06, 2019",262,52.57,13773.34,Telangana,Retail,726,78.44,138.43,SAFE,YES
Jharkhand,327.49,65,Medium,11/28/2019,8,Buttermilk,Mother Dairy,410.48,41.31,16956.93,11,Refrigerated,10/27/2019,11/7/2019,141,43.02,6065.82,Delhi,Online,269,62.67,83.4,SAFE,NO
Rajasthan,226.52,53,Large,3/8/2021,5,Ice Cream,Dodla Dairy,351.11,58.25,20452.16,29,Frozen,03/03/2021,01-04-2021,305,62.31,19004.55,Rajasthan,Online,46,51.48,147.89,IN DANGER,YES
  Rajasthan  ,338.65,79,Large,1/16/2020,8,Buttermilk,Mother Dairy,83.31,62.03,5167.72,13,Refrigerator,1/14/2020,27-01-2020,62,65.24,4044.88,West Bengal,Retail,21,21.47,112.76,IN DANGER,YES
Delhi,672.52,32,Medium,1/7/2019,2,Butter,,30.69,89.8,2755.96,29,Frozen,11/28/2018,12/27/2018,22,92.23,2029.06,Uttar Pradesh,Retail,8,27.1,22.11,IN DANGER,NO
Kerala,976.62,76,Small,5/15/2021,9,Paneer,Sudha,9.78,82.89,810.66,14,Refrigerated,"March 31, 2021",4/14/2021,2,85.42,170.84,Madhya Pradesh,Wholesale,7,50.62,197.39,IN DANGER,NO
Maharashtra,71.89,12,Small,9/22/2022,3,Cheese,Passion Cheese,953.21,48.71,46430.86,42,Refrigerated,8/28/2022,09/10/2022,705,45.04,31753.2,Chandigarh,Retail,248,11.47,68.17,SAFE,YES
Telangana,386.08,98,Small,5/26/2021,7,Lassi,Amul,-707.2,98.37,69567.26,12,Refrigerated,5/14/2021,5/26/2021,145,101.64,14737.8,Kerala,Retail,562,65.74,122.35,SAFE,YES
Maharashtra,968.19,48,Medium,4/20/2021,6,Curd,Raj,839.1,56.07,47048.34,6,Refrigerated,"April 01, 2021",4/7/2021,11,58.17,639.87,Gujarat,Online,828,25.18,144.48,SAFE,NO
Delhi,744.96,19,Medium,2/7/2021,10,Ghee,,960.28,68.66,65932.82,137,Ambient,13-01-2021,5/30/2021,956,69.79,66719.24,Tamil Nadu,Wholesale,4,38.11,199.68,IN DANGER,YES
Telangana,654.24,19,Large,9/22/2020,4,Yogurt,Palle2patnam,65.8,82.43,5423.89,30,Frozen,9/21/2020,10/21/2020,26,84.9,2207.4,Maharashtra,Online,39,67.7,95.52,IN DANGER,YES
Rajasthan,418.17,20,Large,11/17/2019,10,Ghee,Sudha,685.84,92.97,63762.54,143,Ambient,11/7/2019,3/29/2020,634,95.09,60287.06,Chandigarh,Retail,51,78.67,99.91,IN DANGER,YES
Delhi,76.43,31,Small,12/18/2022,4,Yogurt,Dodla Dairy,754.25,20.21,15243.39,28,Frozen,10/24/2022,11/21/2022,290,21.16,6136.4,Rajasthan,Online,464,75.4,82.78,SAFE,NO
Chandigarh,647.03,74,Small,1/2/2021,5,Ice Cream,Palle2patnam,750.7,86.58,64995.61,26,Frozen,12/4/2020,12/30/2020,696,83.73,58276.08,Delhi,Wholesale,54,31.69,187.36,SAFE,NO
Chandigarh,126.19,90,Large,12/17/2019,10,Ghee,Amul,838.85,61.21,51346.01,147,Ambient,12/7/2019,5/2/2020,392,61.22,23998.24,Jharkhand,Wholesale,446,34.63,46.0,SAFE,YES
Delhi,948.51,94,Small,8/24/2019,2,Butter,Mother Dairy,791.17,45.01,35610.56,37,,8/8/2019,14/09/2019,534,48.01,25637.34,Chandigarh,Wholesale,257,80.22,59.28,SAFE,YES
Uttar Pradesh,377.27,100,Medium,11/7/2021,1,Milk,Mother Dairy,62.79,95.03,5966.93,21,Tetra Pack,9/17/2021,10/8/2021,16,93.22,1491.52,Bihar,Wholesale,46,10.47,152.91,SAFE,NO
Gujarat,266.22,58,Large,4/15/2020,4,Yogurt,Amul,931.71,45.36,42262.37,26,Refrigerated,4/9/2020,5/5/2020,834,40.97,34168.98,Gujarat,Wholesale,97,47.75,30.21,SAFE,YES
Uttar Pradesh,291.16,77,Large,9/10/2020,7,Lassi,Raj,398.09,22.2,8837.6,14,Refrigerated,7/22/2020,8/5/2020,304,23.26,7071.04,Uttar Pradesh,Online,94,89.77,81.83,SAFE,NO
Rajasthan,132.6,22,Medium,9/10/2021,4,Yogurt,Mother Dairy,548.97,27.07,14860.62,25,Refrigerated,8/31/2021,9/25/2021,386,25.29,9761.94,Telangana,Online,162,28.6,140.82,SAFE,YES
  Maharashtra  ,966.32,79,Medium,5/11/2019,4,Yogurt,Amul,357.6,68.17,24377.59,27,Frozen,3/25/2019,4/21/2019,9,65.87,592.83,Chandigarh,Wholesale,348,82.26,113.24,SAFE,NO
Chandigarh,85.67,19,Medium,10/11/2021,10,Ghee,Raj,455.19,44.64,20319.68,144,Ambient,9/10/2021,2/1/2022,420,48.13,20214.6,Madhya Pradesh,Online,35,40.44,148.64,IN DANGER,YES
Jharkhand,478.25,40,Large,6/15/2022,1,Milk,Raj,156.97,81.7,12824.45,1,Polythene Packet,2022/06/06,6/7/2022,103,80.26,8266.78,Chandigarh,Retail,53,38.15,44.82,SAFE,NO
Bihar,351.15,38,Large,9/14/2020,6,Curd,Sudha ,120.72,44.7,5396.18,5,Refrigerated,8/5/2020,10-08-2020,78,48.75,3802.5,Bihar,Online,42,25.08,69.37,SAFE,NO
Karnataka,472.49,23,Small,7/10/2022,8,Buttermilk,Sudha,23.96,53.76,1288.09,11,Refrigerated,5/31/2022,6/11/2022,23,56.57,1301.11,Madhya Pradesh,Online,0,41.42,186.26,IN DANGER,NO
Delhi,872.78,35,Large,5/11/2020,1,Milk,Sudha,373.21,38.88,14510.4,1,Polythene Packet,5/10/2020,5/11/2020,166,36.18,6005.88,Rajasthan,Retail,207,26.68,44.52,SAFE,YES
Chandigarh,414.17,38,Small,8/3/2019,6,Curd,Mother Dairy,551.14,64.01,35278.47,5,Refrigerated,6/16/2019,6/21/2019,203,65.1,13215.3,Telangana,Wholesale,348,89.68,119.95,SAFE,NO
Maharashtra,162.03,28,Medium,6/25/2021,4,Yogurt,Mother Dairy,595.93,35.46,21131.68,27,,6/12/2021,7/9/2021,54,34.78,1878.12,Madhya Pradesh,Online,541,74.07,155.47,SAFE,YES
Haryana,829.55,32,Medium,7/2/2022,1,Milk,Amul,928.93,50.94,47319.69,22,Tetra Pack,5/26/2022,6/17/2022,869,54.74,47569.06,Jharkhand,Online,59,97.61,158.99,IN DANGER,NO
Karnataka,315.14,24,Medium,10/9/2020,8,Buttermilk,Raj,118.22,20.18,2385.68,12,Refrigerated,9/19/2020,01-10-2020,84,15.64,1313.76,Jharkhand,Online,34,40.9,157.94,IN DANGER,NO
Uttar Pradesh,716.54,90,Large,7/13/2019,3,Cheese,Amul,197.25,99.96,19717.11,29,,6/8/2019,7/7/2019,150,100.74,15111.0,Jharkhand,Wholesale,47,28.23,93.72,SAFE,NO
Gujarat,364.27,41,Small,3/10/2020,5,Ice Cream,Palle2patnam,69.59,95.3,6631.93,28,Frozen,2/20/2020,3/19/2020,36,98.67,3552.12,Gujarat,Retail,33,62.77,87.86,IN DANGER,YES
Uttar Pradesh,605.79,38,Small,4/2/2019,2,Butter,Amul,705.44,77.71,54819.74,40,Refrigerated,2/17/2019,3/29/2019,279,80.91,22573.89,Tamil Nadu,Retail,426,10.55,66.62,SAFE,NO
Jharkhand,175.31,69,Large,6/9/2020,6,Curd,Amul,336.47,65.23,21947.94,6,Refrigerated,4/18/2020,4/24/2020,108,61.59,6651.72,West Bengal,Wholesale,228,63.42,100.69,SAFE,NO
Jharkhand,908.72,39,Large,10/3/2021,4,Yogurt,Mother Dairy,616.07,80.74,49741.49,27,Frozen,9/1/2021,9/28/2021,362,83.85,30353.7,Uttar Pradesh,Wholesale,254,61.49,132.2,SAFE,NO
West Bengal,11.73,54,Small,8/17/2020,10,Ghee,Mother Dairy,343.94,43.79,15061.13,135,Ambient,21-07-2020,12/3/2020,320,43.76,14003.2,Karnataka,Retail,23,44.92,24.81,IN DANGER,YES
Jharkhand,53.08,95,Medium,1/5/2022,1,Milk,Sudha,999.78,49.06,49049.21,2,Polythene Packet,19-12-2021,12/21/2021,499,48.14,24021.86,Rajasthan,Online,500,39.56,41.02,SAFE,NO
Rajasthan,746.23,98,Medium,10/18/2022,3,Cheese,Amul,211.51,63.08,13342.05,59,Refridgerated,8/28/2022,26/10/2022,206,64.22,13229.32,West Bengal,Online,5,81.94,85.62,IN DANGER,YES
Uttar Pradesh,880.7,78,Large,5/15/2022,4,Yogurt,Palle2patnam,504.33,76.58,38621.59,28,refrigerated,4/20/2022,5/18/2022,490,81.37,39871.3,Delhi,Retail,14,73.82,49.34,IN DANGER,YES
Gujarat,776.36,17,Medium,8/25/2021,2,Butter,Parag Milk Foods,535.1,13.66,7309.47,39,Frozen,7/8/2021,8/16/2021,18,8.83,158.94,Jharkhand,Retail,517,32.01,46.46,SAFE,NO
Uttar Pradesh,951.4,30,Large,3/11/2019,10,Ghee,Sudha,729.21,16.37,11937.17,85,Ambient,18/02/2019,5/14/2019,458,12.86,5889.88,Rajasthan,Wholesale,271,52.59,188.98,SAFE,YES
Maharashtra,53.06,62,Medium,11/1/2020,8,Buttermilk,Sudha,149.16,86.32,12875.49,13,Refrigerated,10/19/2020,11/1/2020,140,81.47,11405.8,Uttar Pradesh,Online,9,25.63,185.72,IN DANGER,YES
Gujarat,484.34,61,Small,9/6/2019,9,Paneer,Raj,674.12,43.22,29135.47,11,Refrigerated,8/13/2019,8/24/2019,230,42.79,9841.7,Gujarat,Retail,444,99.99,131.43,SAFE,NO
Tamil Nadu,291.79,55,Large,9/16/2020,3,Cheese,Dynamix Dairies,627.29,28.93,18147.5,30,Refrigerated,9/1/2020,10/1/2020,465,29.8,13857.0,West Bengal,Online,162,27.19,46.76,SAFE,YES
Madhya Pradesh,84.24,77,Small,10/25/2019,6,Curd,Raj,865.53,45.95,39771.1,7,Refrigerated,8/30/2019,9/6/2019,581,49.38,28689.78,Telangana,Wholesale,284,51.12,123.76,SAFE,NO
West Bengal,240.04,89,Large,11/10/2019,8,Buttermilk,,-582.19,52.51,30570.8,13,Refrigerated,10/1/2019,10/14/2019,556,53.75,29885.0,Madhya Pradesh,Retail,26,21.15,91.16,SAFE,NO
Karnataka,728.93,94,Large,11/23/2022,1,Milk,Sudha,280.1,78.72,22049.47,29,Tetra Pack,11/20/2022,12/19/2022,163,75.83,12360.29,Rajasthan,Retail,117,39.3,119.41,SAFE,YES
Kerala,845.18,66,Medium,5/6/2020,7,Lassi,Sudha,331.3,67.3,22296.49,12,Refrigerated,07/04/2020,4/19/2020,135,67.91,9167.85,Delhi,Retail,196,82.87,190.42,SAFE,NO
Delhi,872.75,29,Large,11/23/2019,1,Milk,Sudha,229.17,29.49,6758.22,28,Tetra Pack,10/28/2019,11/25/2019,159,34.04,5412.36,Kerala,Wholesale,70,28.29,22.58,SAFE,YES
West Bengal,287.81,88,Medium,7/22/2022,3,Cheese,Dynamix Dairies,38.2,75.82,2896.32,44,Refrigerated,6/9/2022,7/23/2022,3,77.91,233.73,Rajasthan,Online,35,72.22,38.25,IN DANGER,YES
Gujarat,305.81,66,Medium,7/5/2021,6,Curd,Amul,242.26,26.85,6504.68,7,Refrigerated,7/1/2021,"July 08, 2021",158,25.72,4063.76,Jharkhand,Retail,84,58.3,186.84,SAFE,YES
Madhya Pradesh,845.65,48,Medium,10/18/2022,3,Cheese,Britannia Industries,-898.01,25.44,22845.37,82,Frozen,9/4/2022,25/11/2022,674,27.1,18265.4,Uttar Pradesh,Online,224,70.14,111.3,SAFE,YES
Chandigarh,670.22,73,Large,2/27/2020,7,Lassi,amul,648.13,99.03,64184.31,16,Refrigerated,1/8/2020,1/24/2020,597,103.49,61783.53,Kerala,Retail,51,84.53,83.17,IN DANGER,NO
Tamil Nadu,813.84,29,Medium,11/16/2019,10,Ghee,Mother Dairy,303.9,35.1,10666.89,147,AMBIENT,10/5/2019,2/29/2020,296,36.16,10703.36,Rajasthan,Wholesale,7,87.43,112.99,IN DANGER,YES
Uttar Pradesh,104.95,58,Medium,11/13/2022,2,Butter,Parag Milk Foods,615.24,95.65,58847.71,28,Frozen,23/09/2022,10/21/2022,281,96.42,27094.02,Delhi,Retail,334,46.01,130.83,SAFE,NO
Gujarat,178.74,14,Large,4/21/2022,1,Milk,Raj,105.47,27.19,2867.73,1,Polythene Packet,05/03/2022,3/6/2022,50,27.0,1350.0,West Bengal,Wholesale,55,79.2,64.33,IN DANGER,NO
Chandigarh,790.64,46,Large,4/21/2022,4,Yogurt,Amul,928.58,82.34,76459.28,24,Refrigerated,3/31/2022,4/24/2022,552,78.38,43265.76,Gujarat,Retail,376,15.44,24.86,SAFE,YES
Karnataka,836.93,43,Large,6/16/2020,4,Yogurt,Dodla Dairy,862.73,98.65,85108.31,23,Refrigerated,6/11/2020,7/4/2020,7,99.66,697.62,Chandigarh,Online,855,14.71,51.89,SAFE,YES
Jharkhand,490.22,66,Large,8/21/2021,1,Milk,Sudha,904.53,21.58,19519.76,2,Polythene Packet,7/13/2021,7/15/2021,129,22.4,2889.6,Maharashtra,Online,775,97.75,180.13,SAFE,NO
Karnataka,953.38,37,Small,1/9/2019,9,Paneer,Mother Dairy,969.09,61.34,59443.98,7,REFRIGERATED,12/8/2018,12/15/2018,779,60.15,46856.85,Kerala,Wholesale,190,32.08,128.68,SAFE,NO
Rajasthan,760.89,72,Large,8/13/2022,3,Cheese,Amul,215.99,27.78,6000.2,74,Refrigerated,7/24/2022,10/6/2022,39,23.87,930.93,Madhya Pradesh,Wholesale,176,89.31,132.49,SAFE,YES
Delhi,521.82,82,Large,6/5/2019,8,Buttermilk,Sudha,394.68,85.32,33674.1,12,Refrigerated,6/3/2019,6/15/2019,104,81.24,8448.96,West Bengal,Online,290,68.67,94.0,SAFE,YES
Chandigarh,479.23,23,Large,1/26/2019,1,Milk,Mother Dairy,86.33,48.91,4222.4,28,Tetra Pack,12/11/2018,1/8/2019,84,45.16,3793.44,Rajasthan,Online,2,32.22,91.81,IN DANGER,NO
Chandigarh,782.36,28,Large,6/9/2021,3,Cheese,Amul,448.41,64.9,29101.81,39,Refrigerated,12/04/2021,5/21/2021,36,63.9,2300.4,Maharashtra,Online,412,67.42,105.24,SAFE,NO
Tamil Nadu,532.8,52,Large,12/19/2022,8,Buttermilk,Mother Dairy,959.1,80.71,77408.96,14,Refrigerated,09/12/2022,12/23/2022,263,81.78,21508.14,Rajasthan,Retail,696,17.87,52.32,SAFE,YES
Delhi,423.46,46,Large,11/18/2020,5,Ice Cream,Amul,950.71,38.42,36526.28,24,Frozen,11/1/2020,"November 25, 2020",459,36.69,16840.71,Gujarat,Retail,491,41.25,182.23,SAFE,YES
Madhya Pradesh,577.76,13,Small,12/27/2019,5,Ice Cream,Dodla Dairy,661.7,76.05,50322.29,29,frozen,12/8/2019,1/6/2020,275,73.34,20168.5,Chandigarh,Online,386,54.28,31.0,SAFE,YES
Chandigarh,540.29,58,Medium,5/11/2022,8,Buttermilk,Sudha,682.38,46.2,31525.96,8,Refrigerated,4/17/2022,4/25/2022,313,41.5,12989.5,Uttar Pradesh,Wholesale,369,24.91,28.2,SAFE,NO
Kerala,299.33,58,Small,4/4/2021,1,Milk,Sudha,662.83,73.51,48724.63,23,Tetra Pack,2021/03/21,4/13/2021,131,75.47,9886.57,Uttar Pradesh,Online,531,61.61,147.88,SAFE,YES
Delhi,811.18,73,Medium,7/18/2020,8,Buttermilk,Raj,41.39,67.85,2808.31,13,Refrigerated,5/19/2020,6/1/2020,9,65.07,585.63,Gujarat,Online,32,44.27,67.3,IN DANGER,NO
Bihar,603.54,44,Small,11/11/2021,6,Curd,Sudha,408.73,34.92,14272.85,7,Refrigerated,11/1/2021,"November 08, 2021",187,34.0,6358.0,Chandigarh,Online,221,11.06,123.37,SAFE,NO
